,v1,v2,size
0,2007,Friday,4647
1,2007,Monday,4582
2,2007,Saturday,2804
3,2007,Sunday,2359
4,2007,Thursday,4945
5,2007,Tuesday,4938
6,2007,Wednesday,4977
7,2008,Friday,4314
8,2008,Monday,4640
9,2008,Saturday,2917
10,2008,Sunday,2151
11,2008,Thursday,4812
12,2008,Tuesday,4796
13,2008,Wednesday,5083
14,2009,Friday,4464
15,2009,Monday,4407
16,2009,Saturday,2377
17,2009,Sunday,1792
18,2009,Thursday,4685
19,2009,Tuesday,4828
20,2009,Wednesday,4782
21,2010,Friday,4226
22,2010,Monday,3963
23,2010,Saturday,2059
24,2010,Sunday,1969
25,2010,Thursday,4296
26,2010,Tuesday,4364
27,2010,Wednesday,4447
28,2011,Friday,4001
29,2011,Monday,3840
30,2011,Saturday,2264
31,2011,Sunday,2033
32,2011,Thursday,4109
33,2011,Tuesday,4323
34,2011,Wednesday,4328
35,2012,Friday,4003
36,2012,Monday,3600
37,2012,Saturday,2427
38,2012,Sunday,2175
39,2012,Thursday,4001
40,2012,Tuesday,4135
41,2012,Wednesday,4065
42,2013,Friday,4290
43,2013,Monday,3896
44,2013,Saturday,2659
45,2013,Sunday,2109
46,2013,Thursday,4325
47,2013,Tuesday,4413
48,2013,Wednesday,4291
49,2014,Friday,4142
50,2014,Monday,3679
51,2014,Saturday,2444
52,2014,Sunday,1916
53,2014,Thursday,4083
54,2014,Tuesday,4101
55,2014,Wednesday,4187
56,2015,Friday,3957
57,2015,Monday,3574
58,2015,Saturday,2458
59,2015,Sunday,1802
60,2015,Thursday,4100
61,2015,Tuesday,4185
62,2015,Wednesday,4151
63,2016,Friday,3653
64,2016,Monday,3312
65,2016,Saturday,2287
66,2016,Sunday,1909
67,2016,Thursday,3819
68,2016,Tuesday,3832
69,2016,Wednesday,3831
70,2017,Friday,3601
71,2017,Monday,3212
72,2017,Saturday,2271
73,2017,Sunday,2108
74,2017,Thursday,3700
75,2017,Tuesday,3726
76,2017,Wednesday,3746
77,2018,Friday,1241
78,2018,Monday,1094
79,2018,Saturday,825
80,2018,Sunday,689
81,2018,Thursday,1302
82,2018,Tuesday,1346
83,2018,Wednesday,1264
